219,0,286,0,286,28,219,28
316,2,392,0,393,27,318,31
411,1,478,1,478,28,411,28
132,6,160,6,160,31,132,31
332,32,387,32,387,61,332,61
132,34,170,34,170,65,132,65
222,34,282,34,282,61,222,61
514,34,567,34,567,61,514,61
409,35,454,35,454,60,409,60
31,38,105,38,105,68,31,68
397,68,475,61,477,92,400,98
513,66,569,71,567,97,511,92
350,70,386,70,386,95,350,95
31,70,99,70,99,103,31,103
402,102,473,102,473,132,402,132
27,103,100,103,100,137,27,137
122,105,200,107,200,136,122,134
398,136,476,133,478,162,400,166
212,137,241,137,241,169,212,169
240,137,267,137,267,165,240,165
141,140,203,140,203,169,141,169
46,145,92,142,94,168,48,171
211,171,263,171,263,204,211,204
326,171,382,173,381,205,324,202
409,171,486,171,486,204,409,204
526,173,564,173,564,197,526,197
141,174,197,174,197,201,141,201
326,204,379,204,379,237,326,237
