1164,0,1324,0,1324,45,1164,45
1010,1,1129,5,1127,56,1009,52
754,22,893,11,897,58,757,69
1142,26,1166,26,1166,40,1142,40
601,40,722,20,731,78,611,98
343,41,493,34,495,81,346,88
175,38,220,38,220,91,175,91
220,43,283,43,283,93,220,93
732,48,756,48,756,62,732,62
1180,72,1336,72,1336,122,1180,122
1012,84,1132,84,1132,134,1012,134
756,91,902,91,902,139,756,139
657,96,732,96,732,153,657,153
1144,108,1168,108,1168,122,1144,122
318,118,600,94,604,143,322,167
616,108,650,108,650,151,616,151
904,108,984,108,984,146,904,146
729,115,756,115,756,129,729,129
154,131,267,117,274,175,160,189
1179,139,1341,150,1338,201,1176,190
768,153,907,153,907,201,768,201
1015,160,1125,160,1125,213,1015,213
616,163,756,163,756,228,616,228
506,184,573,184,573,223,506,223
332,194,484,189,485,235,333,240
158,211,258,194,267,248,167,265
1176,213,1334,213,1334,264,1176,264
763,220,912,220,912,273,763,273
1029,235,1112,228,1116,276,1033,283
628,240,703,240,703,295,628,295
708,242,765,242,765,280,708,280
866,254,933,254,933,288,866,288
511,259,576,259,576,292,511,292
350,259,492,259,492,302,350,302
331,268,355,268,355,302,331,302
196,276,266,276,266,326,196,326
151,280,201,280,201,336,151,336
1142,290,1221,290,1221,367,1142,367
768,295,909,295,909,345,768,345
1257,301,1402,305,1401,355,1256,352
628,309,741,309,741,362,628,362
1016,315,1133,307,1137,371,1020,379
511,328,600,328,600,364,511,364
336,338,494,338,494,388,336,388
153,355,266,355,266,408,153,408
771,367,914,363,915,414,773,418
1149,372,1228,372,1228,446,1149,446
629,379,740,375,743,434,631,438
1238,384,1408,384,1408,436,1238,436
1020,388,1149,388,1149,448,1020,448
508,396,573,396,573,434,508,434
774,415,991,411,992,481,775,485
340,415,484,415,484,465,340,465
154,433,253,437,251,493,151,489
638,441,753,441,753,504,638,504
751,463,780,463,780,480,751,480
1202,463,1346,463,1346,516,1202,516
1022,468,1137,468,1137,525,1022,525
864,480,956,485,954,529,862,524
333,492,487,492,487,542,333,542
779,519,872,510,876,555,783,564
156,516,259,516,259,573,156,573
640,518,744,518,744,573,640,573
