439,9,594,3,597,66,441,72
328,26,439,26,439,74,328,74
429,76,578,76,578,144,429,144
302,84,410,84,410,160,302,160
289,161,575,143,580,228,294,246
434,227,590,227,590,297,434,297
290,238,438,233,440,308,293,313
436,307,580,307,580,376,436,376
297,314,415,314,415,388,297,388
430,385,570,382,572,453,432,456
312,388,427,388,427,465,312,465
458,469,620,455,626,524,464,539
306,473,440,465,445,536,311,544
460,534,635,525,638,602,463,610
299,546,456,531,463,605,306,620
472,604,628,604,628,684,472,684
321,616,444,616,444,691,321,691
470,679,636,679,636,755,470,755
324,681,456,681,456,758,324,758
