26,44,65,44,65,75,26,75
123,48,188,52,186,79,121,75
62,51,75,51,75,72,62,72
26,82,67,82,67,111,26,111
123,86,174,86,174,114,123,114
26,123,82,123,82,151,26,151
122,122,180,124,178,153,120,150
25,161,87,156,89,185,27,190
117,159,177,159,177,185,117,185
116,193,175,196,174,226,115,223
29,195,89,195,89,223,29,223
25,229,93,233,91,265,23,261
117,234,180,234,180,262,117,262
29,264,96,270,94,303,26,298
116,271,180,271,180,299,116,299
123,304,184,304,184,334,123,334
128,337,191,340,189,368,127,365
132,376,185,381,182,408,129,403
60,408,103,408,103,440,60,440
40,412,61,412,61,433,40,433
129,408,186,416,181,446,125,438
41,441,82,441,82,468,41,468
82,447,102,447,102,472,82,472
130,447,192,447,192,476,130,476
43,476,102,476,102,507,43,507
134,485,193,489,191,518,132,514
40,510,102,519,97,550,36,541
136,519,193,525,190,554,133,549
38,552,98,555,97,586,36,584
138,559,185,559,185,585,138,585
40,588,102,590,101,620,39,617
138,590,199,597,196,625,135,618
136,630,195,635,193,661,134,656
54,660,93,660,93,686,54,686
139,668,195,668,195,695,139,695
140,701,195,706,193,731,138,726
141,738,191,742,189,768,139,763
29,760,93,760,93,794,29,794
137,767,193,772,190,798,135,793
29,797,94,804,91,831,26,823
139,807,204,811,202,838,137,834
